iter	Passed	Remaining
207	2085	7940
208	2086	7897
209	2088	7855
210	2089	7814
211	2091	7772
212	2092	7731
213	2093	7690
214	2095	7650
215	2097	7611
216	2098	7572
217	2099	7532
218	2101	7494
219	2103	7456
220	2104	7417
221	2105	7379
222	2107	7342
223	2108	7305
224	2110	7267
225	2111	7232
226	2113	7195
227	2114	7159
228	2115	7123
229	2117	7089
230	2118	7053
231	2120	7019
232	2121	6984
233	2123	6950
234	2124	6916
235	2126	6883
236	2127	6849
237	2129	6816
238	2130	6783
239	2131	6750
240	2133	6718
241	2134	6686
242	2135	6654
243	2137	6622
244	2138	6591
245	2140	6560
246	2142	6530
247	2143	6499
248	2144	6469
249	2146	6439
250	2147	6409
251	2149	6379
252	2150	6350
253	2152	6320
254	2153	6291
255	2155	6263
256	2232	6453
257	2236	6431
258	2240	6410
259	2245	6389
260	2249	6368
261	2253	6347
262	2257	6326
263	2261	6304
264	2265	6282
265	2266	6254
266	2268	6227
267	2270	6200
268	2271	6173
269	2273	6146
270	2275	6120
271	2276	6093
272	2278	6067
273	2280	6041
274	2281	6015
275	2283	5990
276	2285	5965
277	2286	5939
278	2288	5914
279	2290	5889
280	2291	5864
281	2293	5839
282	2294	5813
283	2296	5788
284	2297	5765
285	2299	5741
286	2303	5722
287	2307	5704
288	2311	5687
289	2315	5668
290	2319	5650
291	2320	5626
292	2322	5604
293	2324	5582
294	2328	5563
295	2329	5541
296	2331	5519
297	2333	5496
298	2335	5474
299	2336	5452
300	2338	5430
301	2340	5409
302	2342	5387
303	2343	5366
304	2345	5344
305	2347	5323
306	2348	5302
307	2350	5280
308	2352	5261
309	2354	5240
310	2355	5218
311	2357	5197
312	2358	5176
313	2359	5155
314	2361	5135
315	2363	5115
316	2364	5095
317	2366	5075
318	2367	5055
319	2369	5035
320	2371	5015
321	2372	4995
322	2373	4975
323	2375	4955
324	2376	4936
325	2378	4916
326	2379	4897
327	2381	4878
328	2382	4859
329	2384	4840
330	2385	4821
331	2387	4803
332	2388	4784
333	2390	4766
334	2391	4747
335	2393	4729
336	2394	4711
337	2396	4693
338	2397	4674
339	2399	4657
340	2400	4639
341	2402	4621
342	2403	4603
343	2404	4586
344	2406	4569
345	2408	4551
346	2409	4534
347	2410	4516
348	2412	4499
349	2413	4482
350	2415	4465
351	2416	4449
352	2418	4432
353	2419	4415
354	2421	4398
355	2422	4382
356	2423	4365
357	2425	4349
358	2426	4332
359	2428	4316
360	2429	4300
361	2431	4284
362	2432	4268
363	2433	4252
364	2435	4237
365	2436	4221
366	2438	4205
367	2439	4189
368	2441	4174
369	2442	4159
370	2444	4144
371	2445	4129
372	2447	4114
373	2448	4099
374	2450	4084
375	2452	4070
376	2454	4055
377	2455	4040
378	2457	4026
379	2458	4011
380	2460	3997
381	2461	3982
382	2463	3968
383	2464	3953
384	2466	3939
385	2467	3925
386	2468	3910
387	2470	3896
388	2471	3882
389	2473	3868
390	2474	3854
391	2476	3840
392	2478	3827
393	2479	3814
394	2481	3800
395	2482	3786
396	2484	3773
397	2485	3759
398	2486	3746
399	2489	3733
400	2491	3721
401	2492	3708
402	2494	3694
403	2495	3682
404	2497	3669
405	2498	3656
406	2500	3642
407	2501	3629
408	2503	3616
409	2504	3604
410	2505	3591
411	2507	3578
412	2508	3565
413	2510	3553
414	2511	3540
415	2513	3528
416	2514	3516
417	2516	3504
418	2518	3492
419	2520	3480
420	2521	3467
421	2523	3456
422	2526	3446
423	2528	3435
424	2530	3423
425	2531	3411
426	2533	3399
427	2535	3388
428	2536	3376
429	2538	3364
430	2539	3352
431	2541	3340
432	2542	3329
433	2543	3317
434	2545	3305
435	2546	3294
436	2548	3283
437	2550	3271
438	2551	3260
439	2552	3249
440	2554	3237
441	2555	3226
442	2556	3214
443	2558	3203
444	2559	3192
445	2561	3181
446	2563	3170
447	2564	3159
448	2565	3148
449	2567	3137
450	2568	3126
451	2570	3116
452	2571	3105
453	2573	3094
454	2574	3083
455	2575	3073
456	2578	3063
457	2579	3052
458	2580	3042
459	2582	3031
460	2583	3020
461	2585	3010
462	2586	2999
463	2587	2989
464	2589	2979
465	2591	2969
466	2593	2960
467	2595	2950
468	2596	2939
469	2598	2929
470	2599	2919
471	2600	2909
472	2602	2899
473	2603	2889
474	2604	2879
475	2606	2869
476	2608	2859
477	2609	2849
478	2611	2840
479	2612	2830
480	2613	2820
481	2615	2810
482	2616	2800
483	2618	2791
484	2619	2781
485	2621	2772
486	2623	2763
487	2624	2753
488	2626	2744
489	2627	2734
490	2629	2725
491	2630	2716
492	2631	2706
493	2633	2697
494	2634	2688
495	2636	2678
496	2638	2670
497	2640	2661
498	2641	2652
499	2642	2642
500	2644	2633
501	2645	2624
502	2647	2615
503	2648	2606
504	2650	2597
505	2651	2588
506	2653	2580
507	2654	2571
508	2656	2562
509	2657	2553
510	2659	2544
511	2660	2536
512	2662	2527
513	2663	2518
514	2665	2510
515	2666	2501
516	2668	2492
517	2669	2484
518	2671	2475
519	2672	2466
520	2674	2458
521	2675	2450
522	2677	2441
523	2679	2433
524	2681	2426
525	2684	2418
526	2685	2410
527	2687	2402
528	2688	2393
529	2690	2385
530	2691	2377
531	2693	2369
532	2694	2361
533	2696	2352
534	2698	2345
535	2699	2337
536	2701	2328
537	2702	2320
538	2703	2312
539	2705	2304
540	2706	2296
541	2708	2288
542	2709	2280
543	2711	2272
544	2713	2265
545	2714	2257
546	2716	2249
547	2717	2241
548	2719	2233
549	2720	2225
550	2721	2218
551	2723	2210
552	2724	2202
553	2726	2194
554	2727	2187
555	2729	2179
556	2731	2172
557	2732	2164
558	2734	2157
559	2736	2149
560	2737	2142
561	2739	2135
562	2741	2127
563	2742	2120
564	2744	2112
565	2745	2105
566	2747	2097
567	2748	2090
568	2749	2082
569	2751	2075
570	2752	2068
571	2753	2060
572	2755	2053
573	2757	2046
574	2759	2039
575	2760	2032
576	2762	2024
577	2763	2017
578	2764	2010
579	2766	2003
580	2768	1996
581	2769	1989
582	2771	1982
583	2772	1975
584	2774	1967
585	2775	1960
586	2776	1953
587	2778	1946
588	2779	1939
589	2780	1932
590	2782	1925
591	2783	1918
592	2785	1911
593	2787	1904
594	2788	1898
595	2789	1891
596	2791	1884
597	2792	1877
598	2794	1870
599	2795	1863
600	2797	1856
601	2798	1850
602	2799	1843
603	2801	1836
604	2802	1829
605	2804	1823
606	2805	1816
607	2806	1809
608	2808	1803
609	2809	1796
610	2811	1789
611	2812	1783
612	2814	1776
613	2815	1769
614	2817	1763
615	2818	1757
616	2820	1750
617	2821	1743
618	2822	1737
619	2824	1731
620	2825	1724
621	2827	1718
622	2828	1711
623	2829	1705
624	2831	1698
625	2832	1692
626	2834	1686
627	2835	1679
628	2837	1673
629	2838	1667
630	2840	1660
631	2841	1654
632	2842	1648
633	2844	1641
634	2845	1635
635	2847	1629
636	2848	1623
637	2850	1617
638	2851	1610
639	2852	1604
640	2854	1598
641	2855	1592
642	2856	1586
643	2858	1580
644	2859	1574
645	2861	1568
646	2862	1561
647	2864	1555
648	2865	1549
649	2867	1543
650	2868	1537
651	2869	1531
652	2871	1525
653	2872	1519
654	2874	1513
655	2875	1507
656	2877	1502
657	2878	1496
658	2880	1490
659	2881	1484
660	2882	1478
661	2884	1472
662	2885	1466
663	2886	1460
664	2888	1455
665	2889	1449
666	2891	1443
667	2892	1437
668	2894	1432
669	2895	1426
670	2897	1420
671	2898	1414
672	2900	1409
673	2901	1403
674	2902	1397
675	2904	1391
676	2905	1386
677	2907	1380
678	2908	1374
679	2909	1369
680	2911	1363
681	2912	1358
682	2914	1352
683	2915	1347
684	2917	1341
685	2918	1335
686	2920	1330
687	2921	1325
688	2923	1319
689	2924	1314
690	2926	1308
691	2927	1302
692	2929	1297
693	2930	1292
694	2932	1286
695	2933	1281
696	2934	1275
697	2936	1270
698	2938	1265
699	2939	1259
700	2941	1254
701	2942	1249
702	2943	1243
703	2945	1238
704	2946	1233
705	2948	1227
706	2949	1222
707	2951	1217
708	2953	1212
709	2954	1206
710	2956	1201
711	2957	1196
712	2959	1191
713	2960	1185
714	2962	1180
715	2963	1175
716	2965	1170
717	2966	1165
718	2968	1160
719	2969	1154
720	2971	1149
721	2972	1144
722	2974	1139
723	2975	1134
724	2977	1129
725	2978	1124
726	2980	1119
727	2981	1114
728	2983	1108
729	2984	1103
730	2985	1098
731	2987	1093
732	2988	1088
733	2990	1083
734	2991	1078
735	2993	1073
736	2994	1068
737	2996	1063
738	2997	1058
739	2999	1053
740	3000	1048
741	3001	1043
742	3003	1038
743	3004	1033
744	3006	1028
745	3007	1024
746	3009	1019
747	3011	1014
748	3012	1009
749	3014	1004
750	3015	999
751	3017	995
752	3019	990
753	3020	985
754	3021	980
755	3023	975
756	3024	970
757	3026	966
758	3027	961
759	3029	956
760	3030	951
761	3032	947
762	3033	942
763	3035	937
764	3036	932
765	3038	928
766	3040	923
767	3042	918
768	3043	914
769	3045	909
770	3047	905
771	3049	900
772	3050	895
773	3052	891
774	3053	886
775	3055	882
776	3058	877
777	3059	873
778	3060	868
779	3062	863
780	3064	859
781	3065	854
782	3067	850
783	3068	845
784	3070	840
785	3072	836
786	3073	831
787	3074	827
788	3076	822
789	3077	818
790	3079	813
791	3080	809
792	3082	804
793	3083	800
794	3085	795
795	3086	791
796	3088	786
797	3089	782
798	3091	777
799	3092	773
800	3093	768
801	3095	764
802	3096	759
803	3098	755
804	3099	750
805	3101	746
806	3102	742
807	3104	737
808	3105	733
809	3107	728
810	3108	724
811	3109	720
812	3111	715
813	3112	711
814	3114	706
815	3116	702
816	3117	698
817	3118	693
818	3120	689
819	3121	685
820	3123	680
821	3124	676
822	3126	672
823	3127	668
824	3129	663
825	3131	659
826	3132	655
827	3133	651
828	3135	646
829	3136	642
830	3138	638
831	3139	634
832	3141	629
833	3142	625
834	3144	621
835	3145	617
836	3147	612
837	3148	608
838	3150	604
839	3151	600
840	3153	596
841	3155	592
842	3157	588
843	3159	584
844	3161	579
845	3164	575
846	3165	571
847	3167	567
848	3169	563
849	3171	559
850	3173	555
851	3175	551
852	3176	547
853	3178	543
854	3179	539
855	3181	535
856	3182	531
857	3184	526
858	3185	522
859	3187	518
860	3188	514
861	3190	510
862	3192	506
863	3193	502
864	3195	498
865	3197	494
866	3198	490
867	3200	486
868	3202	482
869	3204	478
870	3205	474
871	3207	470
872	3208	466
873	3211	463
874	3213	459
875	3215	455
876	3217	451
877	3219	447
878	3220	443
879	3222	439
880	3223	435
881	3225	431
882	3226	427
883	3227	423
884	3229	419
885	3230	415
886	3232	411
887	3234	407
888	3235	403
889	3237	400
890	3238	396
891	3239	392
892	3241	388
893	3242	384
894	3244	380
895	3246	376
896	3247	372
897	3249	369
898	3250	365
899	3252	361
900	3253	357
901	3255	353
902	3256	349
903	3258	346
904	3259	342
905	3261	338
906	3262	334
907	3264	330
908	3265	326
909	3267	323
910	3268	319
911	3270	315
912	3271	311
913	3273	307
914	3274	304
915	3276	300
916	3277	296
917	3279	292
918	3280	289
919	3281	285
920	3283	281
921	3284	277
922	3286	274
923	3287	270
924	3289	266
925	3290	262
926	3292	259
927	3293	255
928	3295	251
929	3296	248
930	3297	244
931	3299	240
932	3300	237
933	3302	233
934	3303	229
935	3305	226
936	3307	222
937	3309	218
938	3310	215
939	3311	211
940	3313	207
941	3314	204
942	3316	200
943	3317	196
944	3319	193
945	3320	189
946	3322	185
947	3323	182
948	3324	178
949	3326	175
950	3328	171
951	3329	167
952	3331	164
953	3332	160
954	3334	157
955	3335	153
956	3337	149
957	3338	146
958	3340	142
959	3341	139
960	3342	135
961	3344	132
962	3345	128
963	3347	125
964	3348	121
965	3350	117
966	3351	114
967	3353	110
968	3354	107
969	3356	103
970	3357	100
971	3358	96
972	3360	93
973	3361	89
974	3363	86
975	3364	82
976	3366	79
977	3367	75
978	3369	72
979	3370	68
980	3372	65
981	3373	61
982	3374	58
983	3376	54
984	3377	51
985	3379	47
986	3380	44
987	3382	41
988	3383	37
989	3385	34
990	3387	30
991	3388	27
992	3389	23
993	3391	20
994	3392	17
995	3394	13
996	3395	10
997	3397	6
998	3398	3
999	3400	0
